,edu_location,edu_Latitude,_Longitude,location_id,Venue,venue_id,Venue Latitude,Venue Longitude,Venue Category,Venue Category Plural,Venue Category Short,sub_id
43,San Francisco State University,37.7208542626991,-122.47708049999999,0,Philz Coffee,56eeb771498e0692c105a6f7,37.723478884185766,-122.45374876198406,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735
44,San Francisco State University,37.7208542626991,-122.47708049999999,0,Thriveability,524231b20493eb54df1a91c6,37.73787479269694,-122.46925394926183,Yoga Studio,Yoga Studios,Yoga Studio,4bf58dd8d48988d102941735
45,San Francisco State University,37.7208542626991,-122.47708049999999,0,Fort Funston Beach Walk,4efb4d96775b54cdb7e2a4cb,37.719472945277204,-122.50579833984375,Trail,Trails,Trail,4bf58dd8d48988d159941735
46,San Francisco State University,37.7208542626991,-122.47708049999999,0,Two Cats Comic Book Store,4e7f95e7a17cc58a140a25b1,37.737769254989594,-122.46959304362905,Comic Shop,Comic Shops,Comic Shop,52f2ab2ebcbc57f1066b8b18
47,San Francisco State University,37.7208542626991,-122.47708049999999,0,Lou's Cafe,54d14561498ecb61eca88c0f,37.74280531271367,-122.48236840365382,Sandwich Place,Sandwich Places,Sandwiches,4bf58dd8d48988d1c5941735
48,San Francisco State University,37.7208542626991,-122.47708049999999,0,Original Joe's Westlake,56a2acbd498ee1a54d04a90b,37.70155964783083,-122.48549401760101,Italian Restaurant,Italian Restaurants,Italian,4bf58dd8d48988d110941735
49,San Francisco State University,37.7208542626991,-122.47708049999999,0,Brooks Park,4345ba80f964a52077281fe3,37.71755814416057,-122.46717689875875,Park,Parks,Park,4bf58dd8d48988d163941735
50,San Francisco State University,37.7208542626991,-122.47708049999999,0,Bart Grocery,4bb119baf964a520717a3ce3,37.70567164571286,-122.46415138464225,Korean Restaurant,Korean Restaurants,Korean,4bf58dd8d48988d113941735
51,San Francisco State University,37.7208542626991,-122.47708049999999,0,Trader Joe's,4a5798e3f964a52071b61fe3,37.70037588324938,-122.48261352758318,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735
52,San Francisco State University,37.7208542626991,-122.47708049999999,0,Noe Valley Bakery,5817b85138fa18081795a194,37.74056451440146,-122.46628414888933,Bakery,Bakeries,Bakery,4bf58dd8d48988d16a941735
53,San Francisco State University,37.7208542626991,-122.47708049999999,0,Cold Stone Creamery,4aff2623f964a520f63422e3,37.702159,-122.470603,Ice Cream Shop,Ice Cream Shops,Ice Cream,4bf58dd8d48988d1c9941735
54,San Francisco State University,37.7208542626991,-122.47708049999999,0,San Francisco Zoo,49ca9423f964a520c0581fe3,37.733130992924444,-122.5023865699768,Zoo,Zoos,Zoo,4bf58dd8d48988d17b941735
55,San Francisco State University,37.7208542626991,-122.47708049999999,0,SEPHORA,4b037087f964a520684f22e3,37.727611,-122.476862,Cosmetics Shop,Cosmetics Shops,Cosmetics,4bf58dd8d48988d10c951735
56,San Francisco State University,37.7208542626991,-122.47708049999999,0,Fiery Hot Pot Buffet,57b7af86498e3e263095efc9,37.74280989993256,-122.48381187912098,Chinese Restaurant,Chinese Restaurants,Chinese,4bf58dd8d48988d145941735
57,San Francisco State University,37.7208542626991,-122.47708049999999,0,Cocola Bakery,4b3fd429f964a520e3af25e3,37.72784218971036,-122.4767595204661,Bakery,Bakeries,Bakery,4bf58dd8d48988d16a941735
58,San Francisco State University,37.7208542626991,-122.47708049999999,0,Roti Indian Bistro,49fa41c3f964a520e16d1fe3,37.74027348582191,-122.4663416193992,Indian Restaurant,Indian Restaurants,Indian,4bf58dd8d48988d10f941735
59,San Francisco State University,37.7208542626991,-122.47708049999999,0,Won Kok Restaurant 華記美食,56aaca82498e009d3013a818,37.731774526726426,-122.45127862507782,Cantonese Restaurant,Cantonese Restaurants,Cantonese,52af3a7c3cf9994f4e043bed
60,San Francisco State University,37.7208542626991,-122.47708049999999,0,Dumpling Kitchen,4b78acfdf964a52063dd2ee3,37.74249006365133,-122.48705915184706,Dumpling Restaurant,Dumpling Restaurants,Dumplings,4bf58dd8d48988d108941735
61,San Francisco State University,37.7208542626991,-122.47708049999999,0,San Francisco Wine Trading Company,4ad12037f964a520e9dc20e3,37.74343076355288,-122.46906606497764,Wine Shop,Wine Shops,Wine Shop,4bf58dd8d48988d119951735
62,San Francisco State University,37.7208542626991,-122.47708049999999,0,Kingdom of Dumpling,4a39a40bf964a520a69f1fe3,37.742675092234,-122.48467921243565,Dumpling Restaurant,Dumpling Restaurants,Dumplings,4bf58dd8d48988d108941735
63,San Francisco State University,37.7208542626991,-122.47708049999999,0,Lovesac Alternative Furniture Co.,4ed686790aaf6cc6c9d50d94,37.7277971,-122.4773765,Furniture / Home Store,Furniture / Home Stores,Furniture / Home,4bf58dd8d48988d1f8941735
64,San Francisco State University,37.7208542626991,-122.47708049999999,0,Champa Garden,521c030711d29828a2b0a260,37.72493826945924,-122.46004675400988,Asian Restaurant,Asian Restaurants,Asian,4bf58dd8d48988d142941735
65,San Francisco State University,37.7208542626991,-122.47708049999999,0,Mount Davidson Park,4a353e30f964a520ab9c1fe3,37.738853979980995,-122.45455741882324,Park,Parks,Park,4bf58dd8d48988d163941735
66,San Francisco State University,37.7208542626991,-122.47708049999999,0,Mar Vista Stables,4cb100f3ef1b370480f93f00,37.70033814209455,-122.49638804139053,Stables,Stables,Stables,4eb1baf03b7b2c5b1d4306ca
67,San Francisco State University,37.7208542626991,-122.47708049999999,0,Tokyo Express,4b3a6303f964a520246625e3,37.72782486735322,-122.47678254485152,Japanese Restaurant,Japanese Restaurants,Japanese,4bf58dd8d48988d111941735
68,San Francisco State University,37.7208542626991,-122.47708049999999,0,City Sports Club,5286bb4911d27626009efc5b,37.729771521887216,-122.47637167665974,Gym,Gyms,Gym,4bf58dd8d48988d176941735
69,San Francisco State University,37.7208542626991,-122.47708049999999,0,Blue Line Pizza,542cb378498e111fdf409c3f,37.699441340068475,-122.48229102896126,Pizza Place,Pizza Places,Pizza,4bf58dd8d48988d1ca941735
70,San Francisco State University,37.7208542626991,-122.47708049999999,0,Great Steak,4ad0f08df964a52059db20e3,37.727954,-122.476628,Sandwich Place,Sandwich Places,Sandwiches,4bf58dd8d48988d1c5941735
71,San Francisco State University,37.7208542626991,-122.47708049999999,0,Ming Kee Restaurant 明記燒臘茶餐廳,52dc198b498e44cc433b45df,37.72459831123632,-122.45905878984257,BBQ Joint,BBQ Joints,BBQ,4bf58dd8d48988d1df931735
72,San Francisco State University,37.7208542626991,-122.47708049999999,0,Pine Lake Park,4a7dda13f964a520e2ef1fe3,37.736825612699306,-122.48883361808817,Park,Parks,Park,4bf58dd8d48988d163941735
73,San Francisco State University,37.7208542626991,-122.47708049999999,0,Cool Tea Bar,5a2dfcea6eda024462b540e5,37.732277482312625,-122.47441044515813,Bubble Tea Shop,Bubble Tea Shops,Bubble Tea,52e81612bcbc57f1066b7a0c
74,San Francisco State University,37.7208542626991,-122.47708049999999,0,Scott Hyver Vision Care,4c00350cca1920a1c708ee81,37.698062446684204,-122.47074789866583,Optical Shop,Optical Shops,Optical,4d954afda243a5684865b473
75,San Francisco State University,37.7208542626991,-122.47708049999999,0,George's Zoo,4b76e6b9f964a520b3682ee3,37.735603537730185,-122.50197469015743,Liquor Store,Liquor Stores,Liquor Store,4bf58dd8d48988d186941735
76,San Francisco State University,37.7208542626991,-122.47708049999999,0,Sloat Garden Center,4a7ddac2f964a520e9ef1fe3,37.7358853370637,-122.50386966962988,Garden Center,Garden Centers,Garden Center,4eb1c0253b7b52c0e1adc2e9
77,San Francisco State University,37.7208542626991,-122.47708049999999,0,Ambassador Toys,4a996204f964a5200b2e20e3,37.739041905491995,-122.46819578551356,Toy / Game Store,Toy / Game Stores,Toys & Games,4bf58dd8d48988d1f3941735
78,San Francisco State University,37.7208542626991,-122.47708049999999,0,St. Francis Wood Park,4e60304445ddda352896b619,37.736885804766494,-122.46504304333878,Park,Parks,Park,4bf58dd8d48988d163941735
79,San Francisco State University,37.7208542626991,-122.47708049999999,0,Kaisen Don,5a109ecc898bdc199c4367e9,37.725512759474775,-122.46301464251765,Japanese Restaurant,Japanese Restaurants,Japanese,4bf58dd8d48988d111941735
80,San Francisco State University,37.7208542626991,-122.47708049999999,0,Bangkok Garden,4abedc04f964a5204e9020e3,37.697113498055025,-122.48423558144431,Thai Restaurant,Thai Restaurants,Thai,4bf58dd8d48988d149941735
81,San Francisco State University,37.7208542626991,-122.47708049999999,0,"Andytown Roastery, Training Lab & Coffee Supply",58b76a25fc5a5f1dcd7b248d,37.742142085707165,-122.49856601193528,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735
82,San Francisco State University,37.7208542626991,-122.47708049999999,0,Minnie & Lovie Ward Recreation Center & Park,4b5924aaf964a520c17e28e3,37.71624793773728,-122.4574327468872,Playground,Playgrounds,Playground,4bf58dd8d48988d1e7941735
83,San Francisco State University,37.7208542626991,-122.47708049999999,0,Boulevard Cafe,49e9de32f964a52006661fe3,37.70395577861726,-122.4753953408699,Diner,Diners,Diner,4bf58dd8d48988d147941735
84,San Francisco State University,37.7208542626991,-122.47708049999999,0,Trattoria Da Vittorio,5195394d498e344eeb952b4f,37.739295412112625,-122.46759110305597,Italian Restaurant,Italian Restaurants,Italian,4bf58dd8d48988d110941735
85,San Francisco State University,37.7208542626991,-122.47708049999999,0,Pakwan Restaurant,5879b70bda54ae4bc9f865e9,37.72348113608998,-122.45388596926179,Pakistani Restaurant,Pakistani Restaurants,Pakistani,52e81612bcbc57f1066b79f8
86,San Francisco State University,37.7208542626991,-122.47708049999999,0,Roxie Food Center,49f796fff964a520c06c1fe3,37.72686650712238,-122.44139822741515,Sandwich Place,Sandwich Places,Sandwiches,4bf58dd8d48988d1c5941735
87,San Francisco State University,37.7208542626991,-122.47708049999999,0,Goldilocks,574cabe6498eaa071d281d6b,37.706713264409444,-122.45987176392525,Bakery,Bakeries,Bakery,4bf58dd8d48988d16a941735
88,San Francisco State University,37.7208542626991,-122.47708049999999,0,Simmer,59c0054f603d2a17e378089a,37.74283576199769,-122.47765042604632,Chinese Restaurant,Chinese Restaurants,Chinese,4bf58dd8d48988d145941735
89,San Francisco State University,37.7208542626991,-122.47708049999999,0,Mozzarella di Bufala,4a4d27d0f964a5209aad1fe3,37.7399885325088,-122.46653686048079,Brazilian Restaurant,Brazilian Restaurants,Brazilian,4bf58dd8d48988d16b941735
90,San Francisco State University,37.7208542626991,-122.47708049999999,0,Petco,4ad53930f964a520710221e3,37.73381509128629,-122.49092808510802,Pet Store,Pet Stores,Pet Store,4bf58dd8d48988d100951735
91,San Francisco State University,37.7208542626991,-122.47708049999999,0,Fil-Am BBQ,4adba6f4f964a520c72921e3,37.693454215498285,-122.46561208883907,Filipino Restaurant,Filipino Restaurants,Filipino,4eb1bd1c3b7b55596b4a748f
92,San Francisco State University,37.7208542626991,-122.47708049999999,0,Pet Food Express,4b5a2685f964a52069b028e3,37.6969997606829,-122.4632991489502,Pet Store,Pet Stores,Pet Store,4bf58dd8d48988d100951735
93,San Francisco State University,37.7208542626991,-122.47708049999999,0,Pelican Beach,4e5425191838d8d1daccc285,37.73499682316978,-122.50719795642343,Beach,Beaches,Beach,4bf58dd8d48988d1e2941735
94,San Francisco State University,37.7208542626991,-122.47708049999999,0,Philosopher's Club,49f35a25f964a520916a1fe3,37.740894965026094,-122.46553217465589,Bar,Bars,Bar,4bf58dd8d48988d116941735
95,San Francisco State University,37.7208542626991,-122.47708049999999,0,Old Mandarin Islamic Restaurant 老北京,4a59b889f964a52084b91fe3,37.738313465272604,-122.50073819420903,Chinese Restaurant,Chinese Restaurants,Chinese,4bf58dd8d48988d145941735
96,San Francisco State University,37.7208542626991,-122.47708049999999,0,Golden Gate Heights Park,4b4a8ae1f964a5204c8a26e3,37.7503220430415,-122.4686528820759,Park,Parks,Park,4bf58dd8d48988d163941735
97,San Francisco State University,37.7208542626991,-122.47708049999999,0,Joyful Kitchen,57b3ba13cd100318b215b5ba,37.725376798334565,-122.46272186158328,Chinese Restaurant,Chinese Restaurants,Chinese,4bf58dd8d48988d145941735
